len, freq, err, condition, pred
2, 0.275, 0.0283238667416977, duration<=847.5 & contact_unknown>0.5, 0.0291750503018109
2, 0.007, 0.208504801097394, duration>605.5 & job_admin>0.5, 0.703703703703704
2, 0.002, 0, duration>1303 & job_admin>0.5, 1
2, 0.455, 0.0479101264770281, balance<=547 & duration<=364.5, 0.0504559270516717
1, 0.165, 0.00500822035043467, duration<=79, 0.00503355704697987
3, 0.001, 0, duration<=364.5 & contact_telephone>0.5 & month_mar>0.5, 0
1, 0.155, 0.133670280612245, age<=30.5, 0.158928571428571
1, 0.845, 0.096067023758943, age>30.5, 0.107657068062827
3, 0.001, 0, age>33.5 & month_sep>0.5 & poutcome_success>0.5, 1
1, 0.867, 0.0992063088044785, balance<=2605.5, 0.111678366305041
1, 0.133, 0.121175599593671, balance>2605.5, 0.141078838174274
3, 0.01, 0.0538775510204082, duration<=364.5 & duration>214.5 & poutcome_success>0.5, 0.942857142857143
3, 0.002, 0, duration>364.5 & pdays<=96.5 & poutcome_success>0.5, 1
4, 0.001, 0, duration>364.5 & duration<=605.5 & pdays>96.5 & pdays<=111, 0
3, 0.001, 0, day<=1.5 & duration>605.5 & marital_married<=0.5, 0
3, 0, 0, balance<=0.5 & duration>605.5 & poutcome_success>0.5, 1
2, 0.004, 0.168367346938776, duration>605.5 & poutcome_success>0.5, 0.785714285714286
1, 0.613, 0.0406019097517868, duration<=225.5, 0.0423996391520072
4, 0, 0, day>8.5 & duration<=127.5 & month_feb>0.5 & poutcome_success>0.5, 1
1, 0.387, 0.177958216861733, duration>225.5, 0.231593995711222
2, 0.016, 0.140764148233266, duration>225.5 & poutcome_success>0.5, 0.830508474576271
3, 0.002, 0, duration>225.5 & month_jun>0.5 & poutcome_success>0.5, 1
4, 0.001, 0, age>57.5 & duration>225.5 & contact_unknown<=0.5 & month_jun>0.5, 1
2, 0.256, 0.0117254276301626, duration<=534.5 & contact_unknown>0.5, 0.011866235167206
3, 0.048, 0.0169441141498216, duration<=744.5 & education_primary>0.5 & contact_unknown>0.5, 0.0172413793103448
1, 0.062, 0.1875, age>58.5, 0.25
2, 0.311, 0.0157302449135404, duration<=205.5 & housing_no<=0.5, 0.0159857904085258
1, 0.065, 0.16451809824763, age<=27.5, 0.207627118644068
1, 0.568, 0.0356485904817988, duration<=205.5, 0.0370189965903556
1, 0.935, 0.0972531599033647, age>27.5, 0.109171597633136
3, 0.001, 0, duration<=205.5 & duration>173.5 & month_mar>0.5, 1
1, 0.985, 0.0983528199241763, age<=68.5, 0.110580971091777
1, 0.032, 0.178582045184304, age<=25.5, 0.232758620689655
1, 0.968, 0.0992342040816327, age>25.5, 0.111714285714286
1, 0.212, 0.0763888888888889, balance<=22.5, 0.0833333333333333
1, 0.788, 0.108847821455624, balance>22.5, 0.124297752808989
1, 0.432, 0.170932173105758, duration>205.5, 0.218809980806142
1, 0.156, 0.0674104672803179, loan_yes>0.5, 0.0726950354609929
3, 0, 0, duration>205.5 & pdays>385.5 & loan_yes>0.5, 1
2, 0.494, 0.0303389737199025, duration<=523.5 & housing_yes>0.5, 0.0313199105145414
3, 0.001, 0, duration>205.5 & housing_yes>0.5 & month_dec>0.5, 1
4, 0.001, 0, duration>205.5 & duration<=523.5 & pdays>381.5 & housing_yes>0.5, 1
3, 0.044, 0.0480692196763339, duration<=827.5 & housing_yes>0.5 & month_apr>0.5, 0.0506329113924051
3, 0.001, 0, age>59.5 & duration>523.5 & housing_yes>0.5, 1
1, 0.717, 0.0473089090118528, duration<=287.5, 0.0497877267464299
2, 0.696, 0.0333574435628211, duration<=287.5 & poutcome_success<=0.5, 0.0345512311358221
3, 0.002, 0, duration<=287.5 & duration>173.5 & month_mar>0.5, 1
1, 0.451, 0.0245060355369468, duration<=163.5, 0.0251379521765788
3, 0.001, 0, duration<=163.5 & month_sep>0.5 & poutcome_success>0.5, 1
1, 0.914, 0.100122081566233, balance<=3736.5, 0.11285930408472
1, 0.086, 0.123758025661439, balance>3736.5, 0.144694533762058
3, 0.003, 0, balance>3736.5 & duration<=287.5 & pdays>188, 0
1, 0.283, 0.202454729327781, duration>287.5, 0.281951219512195
3, 0.001, 0, age>60.5 & duration>287.5 & month_sep>0.5, 1
